,Gene.title,P.Value
30057,gephyrin,0.716
30058,dymeclin,0.303
30059,UEV and lactate/malate dehyrogenase domains,0.000448
30060,potassium voltage-gated channel subfamily J member 14,0.263
30061,kinesin family member 13A,0.0564
30062,semaphorin 6B,0.893
30063,peptidyl arginine deiminase 3,0.919
30064,phospholipase A2 group III,0.224
30065,deleted in esophageal cancer 1,0.854
30066,kallikrein related peptidase 12,0.231
30067,matrix metallopeptidase 27,0.259
30068,urotensin 2,0.509
30069,urotensin 2,0.349
30070,solute carrier family 38 member 4,0.326
30071,,0.153
30072,ring finger protein 31///interferon regulatory factor 9,0.734
30073,"small nucleolar RNA, H/ACA box 5B///transforming growth factor beta regulator 4",0.0827
30074,membrane spanning 4-domains A5,0.538
30075,sodium voltage-gated channel alpha subunit 11,0.131
30076,PR/SET domain 5,0.795
30077,sarcoma antigen 1,0.365
30078,"gremlin 2, DAN family BMP antagonist",0.817
30079,brain enriched guanylate kinase associated,0.0302
30080,solute carrier family 35 member E1,0.34
30081,uncharacterized LOC284009///methyltransferase like 16,5.49e-06
30082,phospholipid phosphatase related 3,0.472
30083,glial cells missing homolog 2,0.559
30084,tropomodulin 3,1.66e-08
30085,hydroxyacid oxidase 2,0.564
30086,potassium voltage-gated channel subfamily H member 4,0.682
30087,STAM binding protein like 1,0.0253
30088,tumor protein p73,0.946
30089,histamine receptor H2,0.466
30090,G protein subunit gamma 13,0.528
30091,hemoglobin subunit theta 1,0.00414
30092,theg spermatid protein,0.48
30093,,0.0082
30094,"chloride channel accessory 3, pseudogene",0.0534
30095,"proteoglycan 3, pro eosinophil major basic protein 2",0.955
30096,HERV-H LTR-associating 2,0.226
30097,cysteinyl leukotriene receptor 2,0.786
30098,solute carrier family 30 member 6,0.0145
30099,catenin alpha 3,0.565
30100,lysophosphatidic acid receptor 3,0.492
30101,transient receptor potential cation channel subfamily C member 4,0.674
30102,transient receptor potential cation channel subfamily C member 4,0.363
30103,FERM domain containing 1,0.969
30104,,0.0607
30105,galanin receptor 1,0.299
30106,,0.973
30107,hCG1732469,0.031
30108,,0.0244
30109,kin of IRRE like (Drosophila),0.616
30110,t-complex 10-like,0.445
30111,,0.99
30112,uncharacterized LOC55338,0.0391
30113,"beta-1,3-galactosyltransferase 1",0.672
30114,interphotoreceptor matrix proteoglycan 2,0.0875
30115,"glucosaminyl (N-acetyl) transferase 4, core 2",0.43
30116,toll like receptor 8,0.000103
30117,,0.89
30118,membrane spanning 4-domains A12,0.922
30119,zinc finger protein 407,0.44
30120,zinc finger protein 407,0.0305
30121,uncharacterized LOC100996325,0.415
30122,exonuclease 3'-5' domain containing 3,0.136
30123,methyltransferase like 5,0.498
30124,chromosome 1 open reading frame 112,0.137
30125,Abelson helper integration site 1,0.243
30126,Abelson helper integration site 1,0.249
30127,DDB1 and CUL4 associated factor 13,0.849
30128,transcription elongation factor B subunit 3B,0.259
30129,acyl-CoA oxidase-like,0.133
30130,uncharacterized LOC100506504,0.0171
30131,zinc finger protein 221,0.17
30132,odorant binding protein 2A,0.503
30133,uncharacterized LOC79999,0.00651
30134,MORC family CW-type zinc finger 1,0.124
30135,,0.0229
30136,FOXN3 antisense RNA 2,0.731
30137,glycosyltransferase like domain containing 1,0.567
30138,,0.147
30139,CLTC intronic transcript 1 (non-protein coding),0.783
30140,,0.797
30141,,0.0172
30142,sorbin and SH3 domain containing 2,0.235
30143,,0.351
30144,purine rich element binding protein G,0.253
30145,ubiquitin specific peptidase 22,0.636
30146,,0.572
30147,major intrinsic protein of lens fiber,0.00244
30148,NADH:ubiquinone oxidoreductase subunit A13,6.47e-05
30149,"prenyl (decaprenyl) diphosphate synthase, subunit 1",0.000846
30150,ADAM metallopeptidase with thrombospondin type 1 motif 6,0.802
30151,solute carrier family 24 member 2,0.222
30152,solute carrier family 7 member 10,0.144
30153,ubiquitin like modifier activating enzyme 6,0.0947
30154,,0.295
30155,,0.0322
30156,uncharacterized protein PRO2964,0.733
30157,,0.0787
30158,,0.00687
30159,,0.0775
30160,,0.32
30161,,0.319
30162,,0.216
30163,,0.818
30164,,0.208
30165,,0.835
30166,,0.0783
30167,uncharacterized protein PRO2012,0.854
30168,,0.103
30169,centromere protein J,0.84
30170,gamma-aminobutyric acid type A receptor theta subunit,0.164
30171,coiled-coil domain containing 177,0.226
30172,Cas scaffolding protein family member 4,0.00778
30173,carbonic anhydrase 10,0.124
30174,apolipoprotein L domain containing 1///DEAD-box helicase 47,0.0144
30175,tRNA methyltransferase 44 homolog (S. cerevisiae),0.0449
30176,phosphoserine aminotransferase 1,0.96
30177,uncharacterized gastric protein ZA52P,0.742
30178,PR/SET domain 12,0.865
30179,ubiquitin specific peptidase 29,0.631
30180,F-box and leucine rich repeat protein 18,0.68
30181,,0.355
30182,,0.304
30183,,0.903
30184,,3.2e-05
30185,G protein-coupled receptor 157,0.0186
30186,,0.143
30187,G elongation factor mitochondrial 1,0.698
30188,long intergenic non-protein coding RNA 574,0.107
30189,,0.00291
30190,,0.848
30191,adhesion G protein-coupled receptor F1,0.488
30192,coiled-coil domain containing 33,0.0604
30193,tripartite motif containing 46,0.28
30194,Fraser extracellular matrix complex subunit 1,0.191
30195,NYN domain and retroviral integrase containing,0.629
30196,,0.0382
30197,,0.378
30198,,0.631
30199,,0.664
30200,,0.39
30201,WD repeat domain 19,7.78e-07
30202,RUNX1 intronic transcript 1,0.000529
30203,cilia and flagella associated protein 43,0.261
30204,ATPase phospholipid transporting 10B (putative),0.353
30205,SPANX family member B1,0.697
30206,"SPANX family member A2///SPANX family member B1///SPANX family member C///sperm protein associated with the nucleus, X-linked, family member A1",0.447
30207,paraneoplastic Ma antigen 3,0.229
30208,solute carrier family 38 member 2,0.0321
30209,"N(alpha)-acetyltransferase 35, NatC auxiliary subunit",2.51e-08
30210,ER degradation enhancing alpha-mannosidase like protein 3,0.0404
30211,heparanase 2 (inactive),0.107
30212,PR/SET domain 16,0.12
30213,polypeptide N-acetylgalactosaminyltransferase 8,0.169
30214,small integral membrane protein 2,0.42
30215,small integral membrane protein 2,0.103
30216,,0.818
30217,zinc finger CCHC-type containing 6,0.00234
30218,transmembrane protein 223,0.00682
30219,CDK5 regulatory subunit associated protein 2,0.232
30220,H2A histone family member J,0.943
30221,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",0.0111
30222,glucocorticoid modulatory element binding protein 1,0.0518
30223,dipeptidyl peptidase 8,2.81e-08
30224,ankyrin repeat domain 36B,7.38e-05
30225,chromosome 21 open reading frame 91,0.86
30226,family with sequence similarity 162 member A,0.333
30227,NADH:ubiquinone oxidoreductase complex assembly factor 7,0.00152
30228,peptidoglycan recognition protein 4,0.425
30229,MANSC domain containing 1,0.0205
30230,SET domain containing 2,0.26
30231,TBC1 domain family member 10B,0.189
30232,ATPase Na+/K+ transporting subunit alpha 1,0.00234
30233,chromosome 7 open reading frame 49,0.196
30234,KAT8 regulatory NSL complex subunit 3,0.656
30235,APOBEC1 complementation factor,0.595
30236,pleckstrin homology domain containing A5,0.208
30237,myotubularin related protein 12,0.196
30238,microRNA 6840///STAG3L5P-PVRIG2P-PILRB readthrough///paired immunoglobin-like type 2 receptor beta,0.00225
30239,"RAB23, member RAS oncogene family",0.179
30240,RAB4B-EGLN2 readthrough (NMD candidate)///egl-9 family hypoxia inducible factor 2,0.00437
30241,cutaneous T-cell lymphoma-associated antigen 1,0.0953
30242,unc-51 like kinase 4,0.505
30243,odorant binding protein 2A///odorant binding protein 2B,0.144
30244,ribosomal protein L22,0.38
30245,transforming growth factor beta regulator 4,0.0405
30246,peptidyl arginine deiminase 1,0.0145
30247,REM2 and RAB like small GTPase 1,0.596
30248,"RAB1B, member RAS oncogene family",0.000187
30249,radial spoke head 6 homolog A,0.0961
30250,actin related protein 2/3 complex subunit 5 like,0.158
30251,zinc finger protein 696,0.00167
30252,tetraspanin 9,0.261
30253,,0.301
30254,keratin associated protein 2-3///keratin associated protein 2-4,0.668
30255,interleukin 25,0.23
30256,keratin associated protein 9-9,0.191
30257,SHANK associated RH domain interactor,0.115
30258,sideroflexin 3,0.197
30259,C1q and tumor necrosis factor related protein 1,0.293
30260,keratin associated protein 1-1,0.0344
30261,erythrocyte membrane protein band 4.1 like 5,0.0694
30262,keratin associated protein 1-3,0.705
30263,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",0.639
30264,ADP dependent glucokinase,0.25
30265,nuclear RNA export factor 2B///nuclear RNA export factor 2,0.217
30266,sperm acrosome associated 1,0.192
30267,microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding),0.654
30268,solute carrier organic anion transporter family member 5A1,0.312
30269,ring finger protein 170,0.0169
30270,tigger transposable element derived 6,0.999
30271,NUAK family kinase 2///A-kinase interacting protein 1,0.0789
30272,C1q and tumor necrosis factor related protein 3,0.0252
30273,amnion associated transmembrane protein,0.963
30274,microRNA 21///vacuole membrane protein 1,0.813
30275,ring finger protein 32,0.336
30276,tRNA methyltransferase 1 like,0.102
30277,G protein-coupled receptor 63,0.881
30278,syntaxin binding protein 6,0.24
30279,syntaxin binding protein 6,0.114
30280,SHC binding and spindle associated 1 like,0.545
30281,diaphanous related formin 3,0.194
30282,unc-93 homolog B1 (C. elegans),0.142
30283,cytoplasmic FMR1 interacting protein 2,0.473
30284,Kazal type serine peptidase inhibitor domain 1,0.156
30285,,0.0606
30286,tetraspanin 14,3.68e-07
30287,calcium binding protein 39 like,0.72
30288,integral membrane protein 2C,0.00793
30289,phosphatidylserine synthase 2,0.36
30290,sorting nexin family member 27,0.329
30291,factor interacting with PAPOLA and CPSF1,0.00129
30292,ethanolamine-phosphate phospho-lyase,0.915
30293,angiopoietin like 4,0.957
30294,sirtuin 5,0.14
30295,limb bud and heart development,0.0352
30296,tripartite motif containing 8,0.00529
30297,apolipoprotein L2,0.0217
30298,"RAB33B, member RAS oncogene family",0.451
30299,cytidine and dCMP deaminase domain containing 1,0.0533
30300,transcription factor 7 like 1,0.527
30301,leucine rich repeat containing 3,0.477
30302,tudor domain containing 1,0.0336
30303,collectin subfamily member 12,0.585
30304,solute carrier family 25 member 32,0.0612
30305,catenin beta like 1,0.0558
30306,polyamine modulated factor 1 binding protein 1,0.0272
30307,potassium voltage-gated channel subfamily H member 6,0.0649
30308,solute carrier family 2 member 10,0.349
30309,pseudouridylate synthase 7 like,0.0474
30310,scratch family transcriptional repressor 1,0.16
30311,phospholipase A2 group XIIA,0.21
30312,glucose-fructose oxidoreductase domain containing 2,0.00194
30313,Wnt family member 5B,0.244
30314,Rho GTPase activating protein 24,0.668
30315,apolipoprotein L domain containing 1,0.146
30316,"transmembrane protease, serine 5",0.333
30317,ring finger protein 17,0.0819
30318,testis expressed 13B,0.193
30319,"testis expressed 14, intercellular bridge forming factor",0.305
30320,"aph-1 homolog B, gamma-secretase subunit",0.00335
30321,solute carrier family 25 member 31,0.334
30322,,0.139
30323,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",0.771
30324,calpain 10,0.8
30325,solute carrier family 17 member 5,0.000194
30326,calmin,0.121
30327,,0.00779
30328,TRIM6-TRIM34 readthrough///tripartite motif containing 34,0.0422
30329,period circadian clock 3,0.84
30330,GTP binding protein 8 (putative),0.413
30331,microtubule affinity regulating kinase 1,0.146
30332,chromosome 17 open reading frame 80,0.582
30333,polymerase (DNA) lambda,0.0106
30334,GTP binding protein 2,0.355
30335,nicotinamide riboside kinase 2,0.35
30336,tudor and KH domain containing,0.0592
30337,tudor and KH domain containing,0.529
30338,T-cell leukemia/lymphoma 6 (non-protein coding),0.00161
30339,epidermal growth factor receptor pathway substrate 15 like 1,0.028
30340,spermatogenesis associated 1,0.0635
30341,chemokine like factor,8.95e-05
30342,coactosin like F-actin binding protein 1,0.0011
30343,toll like receptor 4,0.00319
30344,"polycystin 2 like 1, transient receptor potential cation channel",0.00182
30345,heparan sulfate-glucosamine 3-sulfotransferase 3B1,0.495
30346,ring finger protein 123,0.222
30347,unkempt family like zinc finger,0.0415
30348,carbohydrate sulfotransferase 8,0.00244
30349,relaxin/insulin like family peptide receptor 3,0.33
30350,spexin hormone,0.34
30351,KN motif and ankyrin repeat domains 2,0.00261
30352,translational activator of cytochrome c oxidase I,0.251
30353,cell cycle and apoptosis regulator 2,0.502
30354,,0.0356
30355,GSN antisense RNA 1,0.945
30356,nucleotide binding oligomerization domain containing 1,0.00358
30357,natural cytotoxicity triggering receptor 2,0.881
30358,natural cytotoxicity triggering receptor 2,0.294
30359,pelota homolog (Drosophila),0.143
30360,armadillo repeat containing 4,0.0347
30361,coiled-coil domain containing 88A,7.13e-10
30362,methyltransferase like 2A///methyltransferase like 2B,0.372
30363,DENN domain containing 1C,0.00887
30364,DENN domain containing 2D,0.806
30365,NDRG family member 3,1.68e-09
30366,potassium voltage-gated channel subfamily Q member 4,0.941
30367,5-hydroxytryptamine receptor 3B,0.189
30368,tumor necrosis factor superfamily member 15,0.155
30369,FEZ family zinc finger 2,0.492
30370,apolipoprotein L3,0.16
30371,protein phosphatase 1 regulatory subunit 9A,0.0709
30372,NADPH oxidase 3,0.414
30373,2-oxoglutarate and iron dependent oxygenase domain containing 1,0.0117
30374,insulin like 5,0.767
30375,IKAROS family zinc finger 3,0.215
30376,bromodomain containing 7 pseudogene 3,0.278
30377,elongator acetyltransferase complex subunit 3,1.93e-06
30378,potassium voltage-gated channel subfamily E regulatory subunit 2,0.397
30379,transmembrane and coiled-coil domains 6,0.96
30380,potassium calcium-activated channel subfamily M regulatory beta subunit 2,0.04
30381,UTP14A small subunit processome component,0.378
30382,,0.082
30383,chromosome 6 open reading frame 15,0.837
30384,,0.517
30385,transient receptor potential cation channel subfamily M member 6,0.251
30386,cilia and flagella associated protein 44,0.142
30387,nipsnap homolog 3B,0.192
30388,,0.18
30389,solute carrier family 22 member 17,0.557
30390,cholinergic receptor nicotinic alpha 9 subunit,0.719
30391,aspartate rich 1,0.0147
30392,uncharacterized LOC100506571,0.256
30393,phosphodiesterase 11A,0.021
30394,interleukin 26,0.31
30395,interleukin 1 receptor accessory protein like 2,0.811
30396,Wnt family member 16,0.234
30397,ameloblastin,0.0474
30398,lens epithelial protein,0.289
30399,,0.819
30400,,0.174
30401,"polycystin 2 like 2, transient receptor potential cation channel",0.0745
30402,Rho guanine nucleotide exchange factor 38,0.0151
30403,,0.147
30404,cancer/testis antigen 55,0.0864
30405,HRAS like suppressor 2,0.00871
30406,F-box protein 16///zinc finger protein 395,4.52e-08
30407,visual system homeobox 1,0.236
30408,potassium calcium-activated channel subfamily M regulatory beta subunit 3,0.61
30409,dickkopf WNT signaling pathway inhibitor 3,0.508
30410,dickkopf WNT signaling pathway inhibitor 3,0.869
30411,ADAM metallopeptidase domain 19,0.227
30412,family with sequence similarity 215 member A (non-protein coding),0.629
30413,,0.398
30414,"alpha-1,4-N-acetylglucosaminyltransferase",0.0471
30415,claudin 18,0.126
30416,claudin 18,0.411
30417,angiopoietin 4,0.0492
30418,asteroid homolog 1 (Drosophila),0.677
30419,growth differentiation factor 2,0.632
30420,,0.688
30421,,0.00378
30422,cysteine sulfinic acid decarboxylase,0.00116
30423,G protein-coupled receptor 132,1.85e-08
30424,epsin 1,0.00235
30425,peroxisomal trans-2-enoyl-CoA reductase,0.0108
30426,replication protein A4,1.26e-05
30427,,0.859
30428,,0.505
30429,,0.937
30430,WW domain containing oxidoreductase,0.191
30431,,0.0591
30432,complement component 5a receptor 2,0.765
30433,matrix extracellular phosphoglycoprotein,0.244
30434,PR/SET domain 9,0.778
30435,collagen type VIII alpha 1 chain,0.304
30436,,0.95
30437,tripartite motif containing 49C///tripartite motif containing 49,0.0777
30438,,0.0291
30439,cell cycle progression 1,0.151
30440,F-box protein 24,0.602
30441,PAX3 and PAX7 binding protein 1,0.772
30442,,0.189
30443,calcium binding protein 5,0.588
30444,achaete-scute family bHLH transcription factor 3,0.135
30445,HERV-H LTR-associating 1,0.00585
30446,MLX interacting protein like,0.0373
30447,carbohydrate sulfotransferase 5,0.439
30448,interleukin 22,0.793
30449,fibroblast growth factor 23,0.899
30450,coiled-coil domain containing 70,0.489
30451,PR/SET domain 13,0.962
30452,histamine receptor H4,0.0162
30453,histamine receptor H4,0.00273
30454,coiled-coil domain containing 30,0.679
30455,chromosome 7 open reading frame 69,0.708
30456,USH1 protein network component harmonin,0.0718
30457,,0.123
30458,chromosome 3 open reading frame 36,0.389
30459,,0.943
30460,melanoma inhibitory activity 2,0.137
30461,BAI1 associated protein 2 like 2,0.15
30462,"proline rich, Y-linked",0.0873
30463,mitogen-activated protein kinase kinase kinase 19,0.131
30464,,0.977
30465,maestro heat like repeat family member 9,0.569
30466,uncharacterized LOC100507388,0.854
30467,,0.00991
30468,IQ motif containing G,0.137
30469,uncharacterized LOC100131532,0.0971
30470,fuzzy planar cell polarity protein,0.786
30471,cell death-inducing DFFA-like effector b,0.919
30472,"microRNA 6878///threonyl-tRNA synthetase 2, mitochondrial (putative)",0.0435
30473,chromosome 18 open reading frame 8,0.054
30474,stromal antigen 3-like 3 (pseudogene),1.15e-05
30475,major facilitator superfamily domain containing 11,0.0997
30476,zinc finger CCHC-type containing 10,0.227
30477,"TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene///ring finger protein, transmembrane 1",0.0371
30478,"ring finger protein, transmembrane 1",0.0369
30479,BRCA1/BRCA2-containing complex subunit 3,0.326
30480,choline O-acetyltransferase,0.0838
30481,secretin,0.182
30482,GDNF family receptor alpha 4,0.962
30483,endogenous retrovirus group K3 member 2,0.721
30484,zinc finger protein 155,0.00703
30485,,0.115
30486,YEATS domain containing 2,0.00683
30487,cartilage acidic protein 1,0.754
30488,,0.34
30489,"PMS2 C-terminal like pseudogene///PMS1 homolog 2, mismatch repair system component",0.472
30490,neurobeachin,0.337
30491,Myb/SANT DNA binding domain containing 2,0.000524
30492,otoraplin,0.00265
30493,N-acetylneuraminate pyruvate lyase,0.0759
30494,MAP3K7 C-terminal like,0.278
30495,polybromo 1,0.925
30496,uncharacterized LOC145783///zinc finger protein 280D,0.262
30497,microRNA 7114///NMDA receptor synaptonuclear signaling and neuronal migration factor,0.0714
30498,receptor interacting serine/threonine kinase 4,0.315
30499,sex comb on midleg homolog 1 (Drosophila),0.0185
30500,"RNA binding protein, fox-1 homolog 1",0.928
30501,thiamin pyrophosphokinase 1,0.00104
30502,kelch domain containing 4,0.49
30503,SCY1 like pseudokinase 2,0.00407
30504,kelch like family member 3,0.934
30505,chromosome 1 open reading frame 56,0.108
30506,cytokine inducible SH2 containing protein,0.287
30507,dephospho-CoA kinase domain containing,0.00045
30508,dephospho-CoA kinase domain containing,0.124
30509,acid sensing ion channel subunit family member 4,0.144
30510,"coenzyme Q3, methyltransferase",0.427
30511,,0.385
30512,tRNA methyltransferase 61B,0.0601
30513,AT-rich interaction domain 4B,0.235
30514,"NRDE-2, necessary for RNA interference, domain containing",0.0369
30515,ankyrin repeat domain 2,0.507
30516,family with sequence similarity 135 member A,0.222
30517,BTB domain and CNC homolog 2,0.518
30518,transforming growth factor beta receptor associated protein 1,0.00559
30519,stathmin 4,0.632
30520,oxysterol binding protein 2,0.435
30521,high mobility group nucleosome binding domain 5,0.785
30522,Fc receptor like 2,0.000657
30523,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",0.00238
30524,BCL2 like 14,0.992
30525,,0.0421
30526,uncharacterized LOC29013,0.649
30527,3-phosphoinositide dependent protein kinase 1,0.192
30528,frizzled class receptor 5,0.0537
30529,tensin 1,0.00962
30530,RCC1 like,0.185
30531,Wolf-Hirschhorn syndrome candidate 1-like 1,0.246
30532,family with sequence similarity 117 member A,8.25e-07
30533,MAX dimerization protein 3,0.0877
30534,INO80B-WBP1 readthrough (NMD candidate)///INO80 complex subunit B,0.919
30535,germ cell associated 1,0.522
30536,BLOC1S5-TXNDC5 readthrough (NMD candidate)///thioredoxin domain containing 5,0.141
30537,PITPNM family member 3,0.45
30538,ER membrane protein complex subunit 6,0.307
30539,haloacid dehalogenase like hydrolase domain containing 3,0.0507
30540,F-box protein 38,0.558
30541,kinesin family member 18A,0.655
30542,testis expressed 11,0.259
30543,cysteine and serine rich nuclear protein 2,0.447
30544,"small nucleolar RNA, H/ACA box 11E///small nucleolar RNA, H/ACA box 11D///MAGE family member D4///MAGE family member D4B",0.103
30545,solute carrier family 2 member 11,0.391
30546,splicing factor 3b subunit 5,0.275
30547,TAR DNA binding protein,1.25e-05
30548,von Willebrand factor A domain containing 9,0.587
30549,dendrocyte expressed seven transmembrane protein,0.0553
30550,abhydrolase domain containing 17A,0.0489
30551,sphingosine-1-phosphate phosphatase 1,0.00181
30552,SH3 domain binding glutamate rich protein like 3,7.61e-05
30553,queuine tRNA-ribosyltransferase catalytic subunit 1,0.283
30554,interleukin 21,0.591
30555,chromosome 1 open reading frame 21,0.0985
30556,ring finger protein 208,0.267
30557,"lectin, mannose binding 2 like",0.669
30558,,0.454
30559,"syncoilin, intermediate filament protein",0.603
30560,pseudouridylate synthase 3,0.0574
30561,homeobox B8,0.864
30562,ganglioside induced differentiation associated protein 1,0.378
30563,par-3 family cell polarity regulator,0.225
30564,"SRC proto-oncogene, non-receptor tyrosine kinase",0.206
30565,runt related transcription factor 2,0.704
30566,runt related transcription factor 2,0.0462
30567,"SRC proto-oncogene, non-receptor tyrosine kinase",0.113
30568,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",0.693
30569,marginal zone B and B1 cell specific protein,0.467
30570,ribonuclease L,0.00264
30571,G protein-coupled receptor 22,0.385
30572,distal-less homeobox 6,0.628
30573,melanoma associated antigen (mutated) 1,0.969
30574,UL16 binding protein 2,0.138
30575,patched 2,0.0317
30576,"DEF6, guanine nucleotide exchange factor",0.384
30577,G protein-coupled receptor 21,0.787
30578,cell death-inducing DFFA-like effector a,0.123
30579,tectorin alpha,0.959
30580,G protein-coupled receptor class C group 5 member D,0.666
30581,solute carrier family 22 member 8,0.326
30582,G protein-coupled receptor 173,0.565
30583,nuclear pore associated protein 1,0.207
30584,von Willebrand factor A domain containing 7,0.133
30585,Kruppel like factor 15,0.241
30586,protocadherin beta 1,0.188
30587,UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A8,0.613
30588,UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A8,0.167
30589,G protein-coupled receptor 27,0.361
30590,potassium voltage-gated channel interacting protein 1,0.031
30591,fibroblast growth factor receptor substrate 2,0.173
30592,RNA binding motif protein 17,0.698
30593,fibroblast growth factor 14,0.708
30594,LYR motif containing 2,0.562
30595,glucagon like peptide 2 receptor,0.544
30596,G protein-coupled receptor 52,0.958
30597,growth differentiation factor 9,0.976
30598,fibroblast growth factor 22,0.169
30599,cation channel sperm associated auxiliary subunit gamma,0.174
30600,protocadherin beta 6,0.278
30601,neuronal differentiation 4,0.192
30602,protocadherin beta 8,0.142
30603,BCL2 like 10,0.254
30604,potassium voltage-gated channel interacting protein 2,0.098
30605,neuropeptide VF precursor,0.506
30606,UL16 binding protein 1,0.653
30607,taste 2 receptor member 1,0.634
30608,potassium two pore domain channel subfamily K member 13,0.86
30609,tubulin delta 1,0.823
30610,"opsin 1 (cone pigments), medium-wave-sensitive 3///opsin 1 (cone pigments), medium-wave-sensitive 2///opsin 1 (cone pigments), long-wave-sensitive///opsin 1 (cone pigments), medium-wave-sensitive",0.224
30611,claudin 17,0.499
30612,olfactory receptor family 52 subfamily A member 1,0.409
30613,cholinergic receptor muscarinic 2,0.372
30614,cytotoxic T-lymphocyte associated protein 4,0.912
30615,bone morphogenetic protein 15,0.435
30616,forkhead box P3,0.153
30617,forkhead box P3,0.0794
30618,"SMG9, nonsense mediated mRNA decay factor",0.0414
30619,atonal bHLH transcription factor 1,0.0442
30620,uncharacterized LOC101928551///ADAM metallopeptidase domain 29,0.116
30621,"lymphocyte antigen 6 complex, locus G6E",0.708
30622,olfactory receptor family 10 subfamily C member 1 (gene/pseudogene),0.252
30623,caudal type homeobox 4,0.481
30624,olfactory receptor family 1 subfamily D member 5,0.117
30625,chromosome 6 open reading frame 25,0.00239
30626,olfactory receptor family 11 subfamily A member 1,0.236
30627,olfactory receptor family 12 subfamily D member 2 (gene/pseudogene),0.818
30628,free fatty acid receptor 2,0.305
30629,olfactory receptor family 10 subfamily J member 1,0.11
30630,cholinergic receptor muscarinic 5,0.569
30631,natriuretic peptide C,0.746
30632,pre-B lymphocyte 1,0.782
30633,homeobox C8,0.403
30634,5-hydroxytryptamine receptor 1A,0.249
30635,,0.342
30636,olfactory receptor family 3 subfamily A member 1,0.482
30637,melanin concentrating hormone receptor 1,0.296
30638,cholinergic receptor nicotinic gamma subunit,0.493
30639,purinergic receptor P2X 2,0.185
30640,cholinergic receptor muscarinic 4,0.169
30641,neuropeptides B/W receptor 2,0.547
30642,glial cell derived neurotrophic factor,0.454
30643,growth hormone secretagogue receptor,0.188
30644,olfactory marker protein,0.209
30645,5-hydroxytryptamine receptor 5A,0.0647
30646,G protein-coupled receptor 25,0.523
30647,glutamate ionotropic receptor delta type subunit 2,0.157
30648,motilin receptor,0.738
30649,NK6 homeobox 1,0.0792
30650,v-mos Moloney murine sarcoma viral oncogene homolog,0.128
30651,neuraminidase 2,0.847
30652,melatonin receptor 1A,0.902
30653,zinc finger protein 717,0.277
30654,tumor necrosis factor superfamily member 18,0.233
30655,purinergic receptor P2X 2,0.091
30656,persephin,0.692
30657,fibroblast growth factor 16,0.243
30658,olfactory receptor family 1 subfamily G member 1,0.217
30659,fibroblast growth factor 17,0.489
30660,recombination signal binding protein for immunoglobulin kappa J region like,0.0845
30661,"cerberus 1, DAN family BMP antagonist",0.472
30662,,0.161
30663,,0.193
30664,mortality factor 4 like 1,0.00184
30665,,0.0316
30666,neuromedin U receptor 1,0.00579
30667,uncoupling protein 1,0.129
30668,G protein-coupled receptor 42 (gene/pseudogene)///free fatty acid receptor 3,0.199
30669,olfactory receptor family 3 subfamily A member 2,0.283
30670,neuropeptide FF receptor 1,0.0386
30671,olfactory receptor family 1 subfamily A member 1,0.213
30672,phospholipase A2 group IIE,0.93
30673,ankyrin repeat and SOCS box containing 12///myotubularin related protein 8,0.0388
30674,taste 2 receptor member 14,0.689
30675,taste 2 receptor member 4,0.744
30676,trace amine associated receptor 3 (gene/pseudogene),0.818
30677,trace amine associated receptor 2,0.31
30678,taste 2 receptor member 13,0.346
30679,taste 2 receptor member 7,0.412
30680,taste 2 receptor member 10,0.149
30681,taste 2 receptor member 8,0.00994
30682,ectodysplasin A2 receptor,0.0694
30683,myosin IIIA,0.0489
30684,calcium voltage-gated channel auxiliary subunit gamma 5,0.37
30685,olfactory receptor family 1 subfamily F member 1,0.351
30686,insulin like 6,0.183
30687,"interleukin 36, alpha",0.342
30688,,0.623
30689,MSH5-SAPCD1 readthrough (NMD candidate)///suppressor APC domain containing 1,0.134
30690,gap junction protein delta 2,0.396
30691,protocadherin beta 12,0.344
30692,olfactory receptor family 2 subfamily S member 2 (gene/pseudogene),0.221
30693,protocadherin beta 3,0.0292
30694,homeobox D12,0.379
30695,vomeronasal 1 receptor 1,0.289
30696,potassium voltage-gated channel subfamily A regulatory beta subunit 3,0.671
30697,defensin beta 126,0.858
30698,GJA9-MYCBP readthrough///gap junction protein alpha 9///MYC binding protein,0.0872
30699,phospholipase A2 group IIF,0.994
30700,sphingosine-1-phosphate receptor 5,0.0305
30701,mediator complex subunit 16,0.113
30702,,0.753
30703,,0.524
